,title,soc_code,section_body
0,Accountants and Auditors,13-2011,employment accountant auditor project grow percent fast average occupation opening accountant auditor project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment globalization grow economy complex tax regulatory environment expect continue lead strong demand accountant auditor general employment growth accountant auditor expect closely tie health overall economy economy grow worker continue need prepare examine financial record addition go public great need public accountant handle legally require financial documentation continue globalization business lead increase demand accounting expertise service relate international trade international merger acquisition technological change expect affect role accountant projection decade routine accounting task automate platform cloud computing artificial intelligence ai blockchain become widespread although increase accountant efficiency change not expect reduce overall demand automation routine task data entry instead make accountant advisory analytical duty prominent
1,Actors,27-2011,employment actor project grow percent fast average occupation opening actor project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment much project employment growth occupation due recovery covid recession likely occur early projection decade although many theater production stop performance pandemic demand actor expect recover establishment resume operation streaming service online platform expect drive employment demand actor number show produce volume content increase however number performance hold theater impact fund availability result number performance decline would impact employment actor establishment theater stable source funding well know play musical less susceptible fluctuation employment demand
2,Actuaries,15-2011,employment actuary project grow percent much fast average occupation opening actuary project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment actuaries need develop price evaluate variety insurance product calculate cost new risk actuary also need help manage risk practice know enterprise risk management actuary help adjust business investment strategy across area operation insurance need actuary analyze large amount information medical property datum collect consumer datum allow insurance develop new product set competitive price predict consumer behavior improve projection future risk cost addition health insurance require actuary help evaluate effect change healthcare regulation guideline expand new insurance market offer product new customer
3,Administrative Services and Facilities Managers,11-3012,overall employment administrative service facility manager project grow percent fast average occupation opening administrative service facility manager project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment administrative task include facility management record information management remain important range industry continue focus environmental impact energy efficiency building keep facility manager demand improve energy efficiency reduce cost often require regulation example building code typically ensure building meet environmental standard facility manager need oversee improvement wide range area heating air conditioning system roof addition facility manager need plan natural disaster ensure damage building minimal organization get back work quickly smart building technology expect affect work facility manager next decade technology provide facility manager timely detailed information equipment failure alert reminder maintenance information allow facility manager complete work efficiently employment record information manager also expect grow demand expect particularly strong work information governance include privacy legal aspect record management cloud computing continue expand record information manager critical role help organization develop new record information management practice maintain data security
4,Administrative Services and Facilities Managers,11-3013,overall employment administrative service facility manager project grow percent fast average occupation opening administrative service facility manager project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment administrative task include facility management record information management remain important range industry continue focus environmental impact energy efficiency building keep facility manager demand improve energy efficiency reduce cost often require regulation example building code typically ensure building meet environmental standard facility manager need oversee improvement wide range area heating air conditioning system roof addition facility manager need plan natural disaster ensure damage building minimal organization get back work quickly smart building technology expect affect work facility manager next decade technology provide facility manager timely detailed information equipment failure alert reminder maintenance information allow facility manager complete work efficiently employment record information manager also expect grow demand expect particularly strong work information governance include privacy legal aspect record management cloud computing continue expand record information manager critical role help organization develop new record information management practice maintain data security
5,Adult Basic and Secondary Education and ESL Teachers,25-3011,employment adult basic secondary education esl teacher project decline percent despite decline employment opening adult basic secondary education esl teacher project average decade opening expect result need replace worker transfer occupation exit labor force retire employment enrollment adult education esl program decline recent time high school graduation rate increase reduce number adult seek obtain high school equivalency credential trend continue demand adult basic secondary education esl teacher decline change government funding adult education esl program also impact demand worker
6,"Advertising, Promotions, and Marketing Managers",11-2011,overall employment advertising promotion marketing manager project grow percent fast average occupation opening advertising promotion marketing manager project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment marketing manager continue demand organization use marketing campaign maintain expand market share manager seek advice craft pricing strategy find new way reach customer continued rise electronic medium result decrease demand print advertisement however demand advertising promotion manager expect concentrate industry rely worker create digital medium campaign target customer use website social medium live chat
7,"Advertising, Promotions, and Marketing Managers",11-2021,overall employment advertising promotion marketing manager project grow percent fast average occupation opening advertising promotion marketing manager project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment marketing manager continue demand organization use marketing campaign maintain expand market share manager seek advice craft pricing strategy find new way reach customer continued rise electronic medium result decrease demand print advertisement however demand advertising promotion manager expect concentrate industry rely worker create digital medium campaign target customer use website social medium live chat
8,Advertising Sales Agents,41-3011,employment advertising sale agent project decline percent despite decline employment opening advertising sale agent project average decade opening expect result need replace worker transfer occupation exit labor force retire employment newspapers magazine expect continue circulation decline consumer view advertisement print medium advertising sale agent expect need advertising continue grow digital medium include online video ad search engine ad digital ad intend cell phone tablet style computer although advertising sale agent still need digital medium ability automate digital ad placement use ad blocker digital user limit employment demand advertising sale agent along channel
9,Aerospace Engineering and Operations Technologists and Technicians,17-3021,employment aerospace engineering operation technologist technician project grow percent fast average occupation opening aerospace engineering operation technologist technician project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment technological advance reduce cost launch satellite demand aerospace engineering operation technologist technician expect increase space become accessible especially innovation make small satellite commercially viable new development type aircraft electric hybrid also expect drive increase employment addition continue interest drone expect support employment growth worker
10,Aerospace Engineers,17-2011,employment aerospace engineer project grow percent fast average occupation opening aerospace engineer project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment aircraft redesign less noise pollution well fuel efficiency particularly introduction electric hybrid electric aircraft help sustain demand aerospace engineer technological advancement reduce cost launch satellite space become accessible especially development small satellite great commercial viability demand aerospace engineer expect increase addition continue interest drone help drive employment growth engineer
11,Agricultural and Food Science Technicians,19-4012,overall employment agricultural food science technician project grow percent fast average occupation opening agricultural food science technician project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment demand continue agricultural research topic water resource pest pathogen climate weather pattern biofuel agricultural product agricultural science technician need assist agricultural food scientist investigate improve diet living condition genetic makeup livestock food science technician help scientist improve food processing technique ensure product safe waste limited food ship efficiently technician also continue need help analyze soil composition soil improvement technique find use agricultural byproduct selectively breed crop resist pest disease improve taste
12,Agricultural and Food Science Technicians,19-4013,overall employment agricultural food science technician project grow percent fast average occupation opening agricultural food science technician project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment demand continue agricultural research topic water resource pest pathogen climate weather pattern biofuel agricultural product agricultural science technician need assist agricultural food scientist investigate improve diet living condition genetic makeup livestock food science technician help scientist improve food processing technique ensure product safe waste limited food ship efficiently technician also continue need help analyze soil composition soil improvement technique find use agricultural byproduct selectively breed crop resist pest disease improve taste
